How often the home health team began their patients' care in a timely manner,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,Quality of patient care star rating
87.1,82.7,85.7,82.1,85.5,83.4,3.0
94.0,86.7,86.3,87.1,82.4,82.3,3.0
99.6,87.4,87.2,87.2,86.5,82.1,4.0
99.6,89.5,88.9,88.9,90.0,85.6,4.0
99.9,89.3,92.7,88.9,95.6,86.9,4.5
99.4,91.0,92.4,90.4,89.5,85.2,4.0
100.0,91.5,89.4,92.4,92.1,90.1,4.5
99.6,87.2,89.2,88.0,92.3,85.7,4.5
99.9,89.9,89.4,91.8,91.7,84.6,4.0
100.0,86.4,82.5,90.1,83.6,86.8,3.5
99.8,91.6,92.5,91.9,91.2,92.4,4.5
99.9,84.8,85.9,86.2,88.5,79.8,4.0
99.7,97.9,96.0,94.0,86.9,93.4,4.5
99.7,91.4,86.7,91.7,85.3,84.7,4.0
99.4,90.3,86.2,89.0,94.6,85.2,4.0
98.0,89.6,87.4,89.8,90.3,87.4,4.0
99.6,96.4,94.9,96.9,95.4,99.0,5.0
100.0,90.2,93.3,93.0,89.9,86.2,4.0
99.4,92.0,89.8,91.9,90.1,90.3,4.5
100.0,90.8,92.5,92.3,88.8,89.1,4.5
99.1,90.6,87.6,88.8,86.9,88.1,4.0
99.4,85.9,81.4,87.2,89.1,76.5,3.5
100.0,93.4,90.5,92.1,96.5,89.7,4.5
100.0,89.6,91.8,87.9,89.8,85.0,4.5
98.6,94.5,87.4,87.8,97.5,84.3,4.0
100.0,95.4,94.5,89.9,94.6,94.4,5.0
98.1,82.4,86.1,87.6,81.5,81.5,3.0
99.1,86.3,91.7,86.5,81.4,91.0,4.0
100.0,100.0,94.5,95.7,92.3,93.5,5.0
100.0,93.2,90.8,97.1,91.5,90.0,4.5
99.3,89.2,93.8,86.9,89.0,85.4,4.0
99.9,89.8,89.5,88.4,87.5,85.5,4.0
99.7,88.2,87.7,89.1,89.6,84.8,3.5
100.0,89.8,89.9,93.2,83.5,88.8,4.5
98.9,76.2,84.6,77.1,69.0,75.5,2.5
99.7,85.6,87.8,88.9,91.0,85.8,4.0
100.0,74.2,79.8,72.8,76.6,61.9,2.5
99.8,95.2,90.2,91.7,95.8,92.4,4.5
96.0,91.1,87.8,88.1,72.2,85.5,3.5
91.1,87.6,85.3,86.5,84.5,81.3,3.5
99.9,91.9,92.1,92.1,86.3,90.1,4.5
99.6,92.5,88.3,88.4,90.4,85.0,4.0
100.0,92.5,92.1,90.4,87.8,88.2,4.5
99.8,88.3,91.3,90.2,90.7,85.6,4.0
99.5,91.0,92.4,92.6,91.6,90.3,4.5
98.8,97.0,94.3,97.8,93.5,100.0,4.5
100.0,90.8,91.4,89.4,89.0,88.3,4.5
96.7,73.5,84.0,85.5,73.2,74.5,2.5
99.3,90.5,89.2,93.9,90.6,85.6,4.5
99.7,89.7,84.8,89.0,90.6,80.6,4.0
99.8,91.7,88.6,91.5,89.3,85.0,4.0
99.7,92.6,87.4,95.3,90.9,88.5,4.5
84.9,89.5,85.8,90.2,90.4,89.0,3.5
99.9,93.6,92.7,91.7,89.6,88.4,4.5
98.3,86.9,87.6,90.2,81.3,96.0,4.0
99.6,94.8,91.1,89.9,90.1,91.6,4.5
100.0,94.4,93.3,100.0,100.0,93.3,5.0
99.9,87.8,87.3,86.4,86.9,85.2,4.0
100.0,87.7,86.4,84.3,88.5,87.1,4.0
100.0,95.6,92.8,96.7,92.2,95.9,5.0
99.9,91.6,87.9,95.2,99.9,87.3,4.5
99.9,100.0,100.0,100.0,97.1,100.0,5.0
94.3,91.5,91.7,90.3,87.4,94.5,4.0
99.3,87.8,85.7,85.3,87.4,81.8,3.5
97.3,79.1,81.4,80.8,89.5,79.9,3.0
98.9,87.3,89.8,90.7,92.8,85.3,4.0
93.9,78.0,80.9,84.2,83.9,83.1,3.0
100.0,85.1,82.4,84.2,90.6,80.6,3.5
