Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients' breathing improved,How often home health patients had to be admitted to the hospital,Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,DTC Denominator,DTC Risk-Standardized Rate,Quality of patient care star rating
1.0,1.0,1.0,87.1,66.5,82.7,85.5,20.1,0.4,97.8,360.0,84.64,3.0
0.0,0.0,0.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,1.0,82.103,3.245
1.0,1.0,1.0,94.0,42.5,86.7,82.4,15.6,0.0,95.7,720.0,86.26,3.0
1.0,0.0,0.0,99.6,62.1,87.4,86.5,13.6,1.1,95.0,524.0,84.37,4.0
1.0,1.0,1.0,99.6,64.2,89.5,90.0,15.0,0.5,98.7,546.0,88.48,4.0
1.0,1.0,1.0,99.9,71.3,89.3,95.6,16.8,0.3,98.5,813.0,78.21,4.5
1.0,1.0,1.0,99.4,71.0,91.0,89.5,17.7,0.1,98.9,1050.0,83.78,4.0
1.0,1.0,1.0,100.0,64.6,91.5,92.1,17.2,0.2,97.3,959.0,72.93,4.5
1.0,1.0,1.0,99.6,72.2,87.2,92.3,9.6,0.2,97.1,805.0,83.28,4.5
1.0,1.0,1.0,99.9,66.1,89.9,91.7,17.7,0.2,99.6,568.0,89.06,4.0
1.0,1.0,0.0,100.0,66.7,86.4,83.6,17.0,0.9,97.5,342.0,77.17,3.5
1.0,1.0,1.0,99.9,91.3,84.8,88.5,13.6,0.0,98.0,844.0,85.96,4.0
1.0,1.0,1.0,99.7,69.3,97.9,86.9,15.6,0.4,97.5,556.0,80.3,4.5
1.0,1.0,1.0,99.7,67.7,91.4,85.3,14.0,0.1,98.2,509.0,82.2,4.0
1.0,1.0,1.0,99.4,69.3,90.3,94.6,15.2,0.2,98.6,484.0,74.57,4.0
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,2.0,82.103,3.245
1.0,1.0,1.0,99.6,94.3,96.4,95.4,14.9,0.0,99.6,419.0,74.01,5.0
1.0,1.0,1.0,100.0,62.4,90.2,89.9,19.6,0.0,98.0,333.0,81.68,4.0
1.0,0.0,0.0,99.4,57.1,92.0,90.1,11.3,0.1,98.1,336.0,79.09,4.5
1.0,1.0,1.0,100.0,79.1,90.8,88.8,11.8,0.0,99.3,392.0,81.38,4.5
1.0,1.0,0.0,99.1,55.1,90.6,86.9,14.1,0.0,98.7,206.0,76.3,4.0
1.0,1.0,1.0,99.4,79.4,85.9,89.1,16.9,0.2,99.5,749.0,84.46,3.5
1.0,1.0,1.0,100.0,96.3,93.4,96.5,18.4,0.0,99.1,224.0,83.18,4.5
1.0,1.0,1.0,100.0,57.1,89.6,89.8,13.5,0.0,91.0,407.0,91.38,4.5
1.0,1.0,1.0,98.6,63.2,94.5,97.5,11.7,0.7,95.7,253.0,83.49,4.0
1.0,1.0,1.0,100.0,72.6,95.4,94.6,12.2,0.6,99.6,321.0,87.3,5.0
1.0,0.0,1.0,98.1,62.3,82.4,81.5,14.9,0.2,99.1,545.0,88.51,3.0
1.0,1.0,0.0,99.1,63.0,86.3,81.4,9.0,0.7,97.2,133.0,73.05,4.0
1.0,1.0,1.0,100.0,81.2,100.0,92.3,13.3,0.0,98.7,190.0,84.66,5.0
1.0,0.0,1.0,100.0,53.6,93.2,91.5,15.2,0.0,98.9,370.0,84.47,4.5
1.0,1.0,1.0,99.3,60.1,89.2,89.0,11.8,0.0,99.1,652.0,87.89,4.0
1.0,1.0,1.0,99.9,49.2,89.8,87.5,13.2,0.1,99.6,368.0,83.34,4.0
1.0,0.0,1.0,99.7,49.3,88.2,89.6,16.5,0.7,98.7,221.0,83.38,3.5
1.0,1.0,1.0,100.0,78.2,89.8,83.5,12.1,0.9,97.5,177.0,89.4,4.5
1.0,1.0,0.0,98.9,60.8,76.2,69.0,14.3,0.0,98.1,238.0,68.57,2.5
1.0,1.0,1.0,99.7,67.9,85.6,91.0,14.3,0.1,98.5,422.0,84.76,4.0
1.0,1.0,0.0,100.0,46.1,74.2,76.6,18.7,0.6,99.6,245.0,81.96,2.5
1.0,1.0,1.0,99.8,79.8,95.2,95.8,16.6,0.3,99.8,325.0,87.06,4.5
1.0,1.0,0.0,96.0,46.7,91.1,72.2,16.6,0.0,92.9,416.0,80.59,3.5
1.0,1.0,1.0,91.1,71.6,87.6,84.5,12.5,0.1,91.1,249.0,81.75,3.5
1.0,1.0,1.0,99.9,68.6,91.9,86.3,15.6,0.1,98.5,469.0,80.78,4.5
1.0,1.0,0.0,99.6,68.2,92.5,90.4,14.8,0.7,99.6,447.0,85.27,4.0
1.0,1.0,1.0,100.0,66.0,92.5,87.8,16.4,0.0,99.9,456.0,85.81,4.5
1.0,1.0,1.0,99.8,82.3,88.3,90.7,17.6,0.4,99.5,870.0,82.97,4.0
1.0,1.0,1.0,99.5,74.8,91.0,91.6,13.5,0.0,96.4,807.0,85.17,4.5
1.0,1.0,0.0,98.8,85.2,97.0,93.5,17.2,0.0,98.5,509.0,80.48,4.5
1.0,1.0,1.0,100.0,72.5,90.8,89.0,16.2,0.0,99.8,887.0,85.99,4.5
1.0,0.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,1.0,96.7,71.2,73.5,73.2,14.8,0.4,99.3,327.0,79.9,2.5
1.0,1.0,1.0,99.3,76.8,90.5,90.6,11.7,0.1,98.9,835.0,84.29,4.5
1.0,1.0,1.0,99.7,56.4,89.7,90.6,15.0,0.4,97.8,380.0,75.77,4.0
1.0,1.0,1.0,99.8,84.4,91.7,89.3,15.0,0.6,96.9,196.0,83.3,4.0
1.0,1.0,1.0,99.7,88.1,92.6,90.9,13.5,0.1,99.5,341.0,77.71,4.5
1.0,1.0,1.0,84.9,54.1,89.5,90.4,16.1,0.2,98.4,389.0,79.95,3.5
1.0,1.0,1.0,98.3,44.0,86.9,81.3,12.3,0.0,99.8,397.0,85.85,4.0
1.0,1.0,1.0,99.6,69.7,94.8,90.1,15.9,0.0,96.2,920.0,71.03,4.5
1.0,1.0,1.0,100.0,58.2,94.4,100.0,18.0,0.0,99.8,314.0,82.15,5.0
1.0,1.0,1.0,99.9,87.2,87.8,86.9,14.2,0.3,98.4,817.0,81.02,4.0
1.0,1.0,1.0,100.0,61.2,87.7,88.5,19.9,0.0,99.1,232.0,77.27,4.0
1.0,1.0,1.0,100.0,89.1,95.6,92.2,14.3,0.0,100.0,255.0,70.2,5.0
1.0,1.0,1.0,99.9,93.4,91.6,99.9,15.0,0.4,99.4,551.0,75.04,4.5
1.0,1.0,1.0,99.8,75.3,100.0,91.8,15.7,0.8,98.9,374.0,78.78,4.5
1.0,1.0,1.0,99.9,89.5,100.0,97.1,19.6,0.2,98.5,556.0,75.87,5.0
1.0,1.0,1.0,94.3,56.6,91.5,87.4,17.0,0.5,95.7,522.0,76.87,4.0
1.0,1.0,1.0,99.3,86.0,87.8,87.4,11.7,0.5,99.7,449.0,79.73,3.5
1.0,1.0,1.0,97.3,83.0,79.1,89.5,11.3,0.2,99.6,774.0,76.19,3.0
1.0,1.0,0.0,98.9,78.7,87.3,92.8,14.4,0.4,99.9,305.0,77.96,4.0
1.0,1.0,1.0,93.9,79.0,78.0,83.9,14.3,0.2,99.3,526.0,80.56,3.0
1.0,1.0,1.0,100.0,78.8,85.1,90.6,15.3,0.4,98.7,460.0,76.7,3.5
1.0,1.0,1.0,100.0,57.7,92.4,93.1,14.1,0.2,98.2,322.0,82.49,5.0
1.0,1.0,0.0,100.0,82.4,91.3,93.1,15.0,0.0,99.0,377.0,80.35,5.0
1.0,0.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,1.0,99.8,69.8,85.5,81.3,17.6,0.0,99.8,404.0,84.61,3.5
1.0,1.0,1.0,99.0,90.6,87.5,89.9,14.5,0.2,99.3,924.0,79.21,4.0
1.0,1.0,0.0,98.5,63.6,90.6,92.8,9.3,0.0,92.7,404.0,88.35,4.5
1.0,1.0,0.0,99.7,80.2,90.8,91.8,9.4,0.4,99.0,939.0,80.86,5.0
1.0,0.0,1.0,99.7,66.5,84.2,88.3,14.4,0.4,93.2,628.0,89.57,3.5
1.0,1.0,1.0,97.4,67.1,81.9,76.2,15.0,0.5,93.4,980.0,81.53,3.0
1.0,1.0,1.0,99.4,75.8,86.3,87.7,12.4,0.2,98.8,1046.0,87.2,4.0
1.0,1.0,0.0,99.6,75.8,88.4,89.3,14.6,0.0,99.6,676.0,89.71,4.0
1.0,1.0,1.0,99.9,74.8,90.2,93.8,17.0,0.2,99.8,1020.0,85.27,4.5
1.0,1.0,1.0,98.4,76.8,84.1,82.2,16.0,0.3,96.9,425.0,81.18,3.0
1.0,1.0,0.0,91.7,51.3,86.4,83.7,13.924,0.0,95.9,66.0,81.31,3.5
1.0,1.0,1.0,99.7,64.9,91.4,94.3,18.5,0.6,99.1,651.0,86.82,4.5
1.0,1.0,1.0,100.0,79.7,90.3,88.9,15.6,0.3,99.6,339.0,82.23,4.5
1.0,1.0,1.0,98.9,80.6,92.7,97.2,18.1,0.4,99.5,334.0,88.3,4.5
1.0,1.0,0.0,98.7,68.6,95.5,89.7,13.0,0.6,99.2,296.0,80.36,4.5
1.0,1.0,1.0,99.3,80.9,87.7,88.7,13.6,0.0,99.6,578.0,86.52,4.0
1.0,1.0,1.0,96.2,59.2,76.9,74.3,11.3,0.0,96.6,443.0,87.79,2.5
1.0,1.0,1.0,99.8,86.3,84.1,82.0,15.9,0.0,89.2,462.0,87.13,3.5
1.0,1.0,1.0,97.2,65.5,90.1,97.9,15.0,0.3,97.6,471.0,83.78,4.0
1.0,1.0,0.0,100.0,69.4,76.9,70.1,12.2,0.4,100.0,225.0,76.66,3.0
1.0,1.0,1.0,99.6,72.4,86.2,89.1,15.9,0.4,90.3,972.0,81.21,4.0
1.0,1.0,1.0,100.0,75.8,93.2,92.6,13.3,0.0,99.9,745.0,84.03,5.0
1.0,1.0,1.0,98.0,60.0,89.0,86.0,13.924,0.0,100.0,43.0,81.67,4.0
1.0,1.0,1.0,99.6,63.3,93.3,91.1,15.5,0.2,97.4,596.0,94.04,4.5
1.0,1.0,0.0,99.2,56.3,95.6,90.3,12.5,0.3,99.4,597.0,89.96,4.5
1.0,0.0,1.0,99.2,67.0,89.6,94.1,10.6,0.6,97.2,626.0,87.92,4.5
1.0,1.0,1.0,99.6,60.2,93.6,93.0,14.4,0.0,98.9,946.0,87.31,4.5
1.0,1.0,0.0,99.5,78.0,83.8,95.6,10.5,0.6,99.0,159.0,85.29,4.0
1.0,1.0,0.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,0.0,100.0,63.2,68.7,71.6,15.4,0.0,96.3,319.0,87.36,2.5
1.0,1.0,1.0,97.7,39.1,78.6,80.2,14.9,0.9,90.8,609.0,83.92,3.0
1.0,1.0,0.0,100.0,57.5,89.8,93.3,16.1,0.0,98.6,533.0,89.86,4.5
1.0,1.0,1.0,85.7,73.7,95.6,91.2,11.4,0.1,99.2,995.0,81.44,4.5
1.0,1.0,1.0,98.2,64.1,97.0,88.1,17.4,0.2,99.2,346.0,72.5,4.5
1.0,1.0,1.0,99.4,77.5,93.0,89.7,13.8,0.2,98.1,430.0,71.68,4.5
1.0,1.0,1.0,99.8,71.2,82.3,85.6,9.8,0.2,98.1,350.0,76.81,4.0
1.0,0.0,0.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,0.0,0.0,97.1,74.381,87.7,70.5,13.924,0.0,94.1,47.0,78.31,3.0
1.0,1.0,1.0,99.4,78.5,70.1,71.0,13.4,0.0,89.1,237.0,88.99,2.5
1.0,1.0,1.0,97.8,59.7,81.4,77.5,10.7,1.0,93.4,265.0,74.59,3.0
1.0,1.0,1.0,99.5,71.0,90.2,92.6,12.8,0.0,95.5,1130.0,88.61,4.5
1.0,0.0,0.0,99.8,69.2,88.1,90.3,11.6,0.4,99.8,276.0,84.72,4.0
1.0,0.0,0.0,100.0,51.8,94.8,93.6,14.4,0.0,100.0,318.0,86.72,5.0
1.0,1.0,0.0,99.6,63.5,86.5,100.0,13.5,0.2,94.7,432.0,77.3,4.5
1.0,1.0,0.0,100.0,70.9,93.5,90.6,18.5,0.4,99.8,238.0,82.58,4.5
1.0,1.0,0.0,99.4,77.5,89.9,87.1,16.9,0.0,99.4,139.0,74.87,3.5
1.0,0.0,0.0,99.8,67.5,88.7,89.8,16.9,0.8,96.3,261.0,80.06,4.0
1.0,0.0,0.0,100.0,94.6,98.0,91.1,12.8,0.0,98.9,430.0,77.6,5.0
1.0,0.0,0.0,98.6,60.0,82.6,85.4,14.4,0.0,98.0,309.0,87.11,3.5
1.0,1.0,0.0,99.2,68.7,90.2,93.3,10.6,0.7,99.2,228.0,74.22,4.5
1.0,1.0,0.0,100.0,74.9,91.8,88.5,15.9,0.0,97.1,296.0,85.2,4.0
1.0,0.0,1.0,97.2,87.4,85.3,92.9,10.4,0.0,95.9,524.0,85.41,4.0
1.0,1.0,1.0,98.8,57.7,89.3,85.6,11.0,0.6,95.3,436.0,90.6,4.0
1.0,0.0,1.0,97.3,51.4,89.5,88.6,14.2,0.5,96.3,408.0,88.82,4.0
1.0,1.0,1.0,99.4,61.2,87.8,91.4,6.3,0.0,99.1,328.0,93.24,4.5
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,1.0,100.0,79.3,82.2,89.8,11.6,0.3,99.5,517.0,84.21,4.0
1.0,1.0,1.0,99.8,47.9,76.5,80.6,13.1,0.3,98.2,221.0,90.34,3.0
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,2.0,82.103,3.245
1.0,1.0,1.0,100.0,84.9,87.7,98.4,12.2,0.0,96.7,932.0,84.35,4.5
1.0,1.0,1.0,99.8,62.8,87.8,88.3,13.9,0.0,99.2,452.0,94.06,4.0
0.0,0.0,0.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,0.0,0.0,99.2,72.9,62.4,80.4,13.924,0.4,99.6,31.0,76.79,2.5
1.0,1.0,1.0,99.0,79.1,74.7,77.7,11.0,0.1,97.9,539.0,88.97,3.0
1.0,1.0,1.0,100.0,71.7,95.4,92.8,13.0,0.0,97.3,895.0,89.12,5.0
1.0,1.0,1.0,98.9,86.8,92.3,88.4,10.3,0.0,99.5,790.0,85.84,4.5
1.0,1.0,1.0,99.8,69.6,85.6,90.5,15.1,0.4,94.3,343.0,85.54,4.5
0.0,1.0,0.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,1.0,98.5,80.5,76.7,88.3,11.8,1.1,98.5,879.0,90.04,3.0
1.0,1.0,1.0,98.9,65.4,88.6,95.1,12.3,0.2,97.1,1062.0,81.88,4.5
1.0,1.0,0.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,7.0,82.103,3.245
0.0,0.0,0.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,1.0,99.3,79.3,94.8,93.3,9.8,0.0,97.9,318.0,80.69,5.0
0.0,0.0,0.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,1.0,99.4,74.9,91.2,92.3,13.1,0.4,97.8,904.0,86.63,4.5
1.0,1.0,1.0,99.8,79.4,83.2,95.2,12.4,0.3,99.0,529.0,83.38,4.0
0.0,0.0,0.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,1.0,82.103,3.245
1.0,0.0,0.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,1.0,100.0,75.9,91.5,89.0,16.2,0.4,98.4,629.0,88.02,4.5
1.0,1.0,1.0,100.0,81.6,71.9,95.6,14.6,0.7,100.0,264.0,72.87,3.0
1.0,1.0,1.0,98.7,65.7,75.8,75.9,10.4,0.7,99.6,703.0,82.39,3.0
1.0,1.0,1.0,100.0,73.5,78.7,80.6,16.9,0.8,98.4,438.0,84.4,3.0
1.0,1.0,1.0,99.0,87.6,83.8,77.5,18.5,0.7,98.1,179.0,87.16,3.5
1.0,1.0,1.0,100.0,80.6,93.3,89.7,12.7,0.4,98.9,639.0,85.71,4.5
1.0,1.0,1.0,95.5,68.1,90.3,84.4,14.0,0.4,93.4,533.0,79.89,3.5
1.0,1.0,1.0,100.0,74.5,76.8,73.6,13.924,0.0,94.0,8.0,82.103,3.0
1.0,1.0,1.0,98.5,83.8,90.9,95.4,16.1,0.1,90.8,337.0,83.17,4.5
1.0,1.0,1.0,98.4,50.0,76.4,88.0,14.7,0.6,99.2,1180.0,90.34,3.0
1.0,1.0,1.0,100.0,71.6,87.5,91.8,11.7,0.4,99.8,702.0,82.28,4.5
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
