Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)",Latitude,Longitude,Provider_Name_1,Provider_Name_2,Provider_Name_3,Provider_Name_4,Provider_Name_5,Provider_Name_6,Provider_Name_7,Provider_Name_8,Provider_Name_9,Provider_Name_10
4.0,1.0,1.0,1.0,1.0,1.0,1.0,10120.0,3,87.1,66.5,82.7,85.7,82.1,85.5,83.4,20.1,9.1,0.4,97.8,1.3,98.7,292.0,360.0,81.11,84.64,80.64,88.52,2.0,12.0,186.0,6.45,4.64,3.31,6.56,1.0,23.0,210.0,10.95,11.75,8.27,16.41,1.0,0.91,419.0,61.1851439,-149.8966513,-0.036991097,-0.029189706,0.02775017,-0.021438226,0.003931725,-0.02512214,-0.044359293,0.007495767,-0.044811502,-0.0057722093
3.0,1.0,1.0,1.0,1.0,1.0,1.0,21023.0,3,94.0,42.5,86.7,86.3,87.1,82.4,82.3,15.6,9.7,0.0,95.7,1.5,97.9,555.0,720.0,77.08,86.26,82.7,89.53,2.0,14.0,318.0,4.4,3.81,2.79,5.14,1.0,34.0,348.0,9.77,8.79,6.62,11.54,1.0,0.97,1624.0,32.3792067,-86.3058299,0.0493777,-0.027999287,-0.044639744,0.0022764623,-0.005827576,-0.038080726,0.006824887,0.010104907,-0.040086105,0.032837726
4.0,1.0,1.0,1.0,0.0,0.0,1.0,17713.0,4,99.6,62.1,87.4,87.2,87.2,86.5,82.1,13.6,15.3,1.1,95.0,0.6,99.7,422.0,524.0,80.53,84.37,80.64,87.49,2.0,5.0,210.0,2.38,3.62,2.52,5.06,1.0,34.0,288.0,11.81,11.05,8.33,14.26,1.0,0.9,1077.0,31.3287869,-85.818364,0.021325415,0.04310788,0.030320525,0.047537647,-0.029586762,0.023308868,-0.043539636,-0.03531331,-0.0279476,0.026951373
4.0,1.0,1.0,1.0,1.0,1.0,1.0,17392.0,4,99.6,64.2,89.5,88.9,88.9,90.0,85.6,15.0,12.7,0.5,98.7,0.4,100.0,458.0,546.0,83.88,88.48,84.94,91.42,2.0,5.0,253.0,1.98,3.52,2.48,4.96,1.0,37.0,289.0,12.8,12.52,9.42,16.4,1.0,0.98,890.0,31.3215303,-85.8339688,0.002386117,0.01541326,0.04918,0.030742079,-0.019705843,-0.027467227,-0.008778378,0.040999245,0.028075451,0.049740035
4.0,1.0,1.0,1.0,1.0,1.0,1.0,17044.0,4.5,99.9,71.3,89.3,92.7,88.9,95.6,86.9,16.8,10.3,0.3,98.5,0.6,97.6,582.0,813.0,71.59,78.21,74.65,81.37,1.0,11.0,414.0,2.66,3.52,2.56,4.89,1.0,53.0,418.0,12.68,10.94,8.62,13.48,1.0,1.02,1476.0,30.6986159,-88.1219861,0.02978943,-0.023231942,0.013566369,0.009751123,0.036525615,-0.024649058,-0.0038173734,0.041610755,0.03556124,-0.023094129
4.0,1.0,1.0,1.0,1.0,1.0,1.0,16670.0,4,99.4,71.0,91.0,92.4,90.4,89.5,85.2,17.7,8.9,0.1,98.9,0.5,100.0,833.0,1050.0,79.33,83.78,81.17,86.04,2.0,17.0,497.0,3.42,3.85,2.83,5.15,1.0,71.0,553.0,12.84,12.26,9.79,14.9,1.0,0.97,1600.0,31.2008089,-85.3674193,0.002386117,0.01541326,0.04918,0.030742079,-0.019705843,-0.027467227,-0.008778378,0.040999245,0.028075451,0.049740035
4.0,1.0,1.0,1.0,1.0,1.0,1.0,16369.0,4.5,100.0,64.6,91.5,89.4,92.4,92.1,90.1,17.2,9.0,0.2,97.3,1.4,99.8,640.0,959.0,66.74,72.93,69.9,76.24,0.0,13.0,348.0,3.74,3.77,2.7,5.14,1.0,72.0,607.0,11.86,10.7,8.77,12.98,1.0,1.02,1899.0,33.3657029,-86.7869201,0.048558015,-0.048598167,0.015016228,-0.048210695,-0.03106896,-0.032426152,0.021740437,-0.0063097687,0.0053776084,-0.023870405
4.0,1.0,1.0,1.0,1.0,1.0,1.0,15494.0,4.5,99.6,72.2,87.2,89.2,88.0,92.3,85.7,9.6,8.7,0.2,97.1,0.6,100.0,642.0,805.0,79.75,83.28,80.55,85.78,2.0,17.0,514.0,3.31,3.86,2.86,4.98,1.0,37.0,389.0,9.51,9.31,7.18,12.1,1.0,0.92,1146.0,30.675653,-88.1805595,0.039598476,-0.016877685,0.020953149,-0.029087093,0.046236318,0.0048294244,0.030634588,-0.047986664,0.014349031,0.03362899
4.0,1.0,1.0,1.0,1.0,1.0,1.0,15452.0,4,99.9,66.1,89.9,89.4,91.8,91.7,84.6,17.7,11.5,0.2,99.6,1.0,99.8,465.0,568.0,81.87,89.06,85.68,91.84,2.0,12.0,292.0,4.11,3.9,2.88,5.28,1.0,31.0,299.0,10.37,10.12,7.59,13.21,1.0,1.0,801.0,32.3780413,-86.1708173,0.009625989,0.044545345,0.026186675,0.0038821758,0.021192342,0.0137334885,0.0062086405,0.024447983,0.02648275,-0.031796448
4.0,1.0,1.0,1.0,1.0,0.0,1.0,14654.0,3.5,100.0,66.7,86.4,82.5,90.1,83.6,86.8,17.0,10.1,0.9,97.5,0.7,100.0,254.0,342.0,74.27,77.17,72.14,81.48,1.0,1.0,108.0,0.93,3.56,2.47,5.1,1.0,26.0,220.0,11.82,12.3,8.99,16.43,1.0,1.03,768.0,31.0452319,-85.8918867,0.021325415,0.04310788,0.030320525,0.047537647,-0.029586762,0.023308868,-0.043539636,-0.03531331,-0.0279476,0.026951373
